"Bill of Material for EPICPLUS.PRJPCB"
"On 2/13/2009 at 7:03:40 PM"

"Comment","Pattern","Quantity","Components"

"AD/AD5242 10k","SOIC127P600X175-16N","1","U8",""
"AD/AD5242 1M","SOIC127P600X175-16N","1","U7",""
"AD/SSM2167","MSOP127P600-8N","1","U6",""
"Cap","CC1608-0603","18","C1, C2, C3, C4, C7, C9, C10, C11, C13, C14, C15, C21, C23, C24, C25, C26, C27, C28","Capacitor"
"Cap2","CC1608-0603","7","C6, C8, C12, C16, C17, C18, C19","Capacitor"
"Cap2","CC3216-1206","2","C5, C20","Capacitor"
"CRYSTAL_0","ECS/CSM-7SSX","1","Y1",""
"CUI/SJ1-3525NG","CUI/PHONE_JACK_3.5mm","1","J1",""
"Epic Mote Compact","UCB/Epic_Quanto_Header","1","U3",""
"Header 5X2","HDR2X5","1","P1","Header, 5-Pin, Dual row"
"Mic2","CUIINC/CMA-4544PF-W","1","MK1","Microphone"
"MICREL/LM4041","SOT231 (M3)","1","U10",""
"Microchip/MCP6042","SOIC127P600X175-8N","1","U1",""
"NS/LMV982","MSOP10","1","U4",""
"Res3","CR1608-0603","27","R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R24, R25, R26, R27","Resistor"
"SHT11","Sensirion/SHT11","1","U2",""
"SparkFun/Breakout_WRL-084","SparkFun/Breakout_WRL-084","1","U5",""
"Speaker","PIN2","1","LS1","Loudspeaker"
"TI/TPA0233","TSSOP50P480X107_HS-10N","1","U9",""
"VISHAY/TEMD6010FX01","VISHAY/TEMD6010FX01","1","D1",""
